,dy=0,dy=1,dy=2,dy=3,dy=4,dy=5,dy=6,dy=7,dy=8,dy=9,dy=10,dy=11,dy=12,dy=13,dy=14,dy=15,dy=16,dy=17,dy=18,dy=19,dy=20,dy=21,dy=22,dy=23,dy=24,dy=25,dy=26,dy=27,dy=28,dy=29,dy=30,dy=31,dy=32,dy=33,dy=34,dy=35,dy=36,dy=37,dy=38,dy=39,dy=40,dy=41,dy=42,dy=43,dy=44,dy=45,dy=46,dy=47,dy=48,dy=49,dy=50,dy=51,dy=52,dy=53,dy=54,dy=55,dy=56,dy=57,dy=58,dy=59,dy=60,dy=61,dy=62,dy=63,dy=64,dy=65,dy=66,dy=67,dy=68,dy=69,dy=70,dy=71,dy=72,dy=73,dy=74,dy=75,dy=76,dy=77,dy=78,dy=79,dy=80,dy=81,dy=82,dy=83,dy=84,dy=85,dy=86,dy=87,dy=88,dy=89,dy=90,dy=91,dy=92,dy=93,dy=94,dy=95,dy=96,dy=97,dy=98,dy=99,dy=100,dy=101,dy=102,dy=103,dy=104,dy=105,dy=106,dy=107,dy=108,dy=109,dy=110,dy=111,dy=112,dy=113,dy=114,dy=115,dy=116,dy=117,dy=118,dy=119,dy=120,dy=121,dy=122,dy=123,dy=124,dy=125,dy=126,dy=127,dy=128,dy=129,dy=130,dy=131,dy=132,dy=133,dy=134,dy=135,dy=136,dy=137,dy=138,dy=139,dy=140,dy=141,dy=142,dy=143,dy=144,dy=145,dy=146,dy=147,dy=148,dy=149,dy=150,dy=151,dy=152,dy=153,dy=154,dy=155,dy=156,dy=157,dy=158,dy=159,dy=160,dy=161,dy=162,dy=163,dy=164,dy=165,dy=166,dy=167,dy=168,dy=169,dy=170,dy=171,dy=172,dy=173,dy=174,dy=175,dy=176,dy=177,dy=178,dy=179,dy=180,dy=181,dy=182,dy=183,dy=184,dy=185,dy=186,dy=187,dy=188,dy=189,dy=190,dy=191,dy=192,dy=193,dy=194,dy=195,dy=196,dy=197,dy=198,dy=199,dy=200,dy=201,dy=202,dy=203,dy=204,dy=205,dy=206,dy=207,dy=208,dy=209,dy=210,dy=211,dy=212,dy=213,dy=214,dy=215,dy=216,dy=217,dy=218,dy=219,dy=220,dy=221,dy=222,dy=223,dy=224,dy=225,dy=226,dy=227,dy=228,dy=229,dy=230,dy=231,dy=232,dy=233,dy=234,dy=235,dy=236,dy=237,dy=238,dy=239,dy=240,dy=241,dy=242,dy=243,dy=244,dy=245,dy=246,dy=247,dy=248,dy=249,dy=250,dy=251,dy=252,dy=253,dy=254,dy=255
dx=0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dx=1,0,2,0,0,2,0,2,0,2,2,2,2,2,2,2,2,0,2,0,0,2,2,0,0,2,2,2,0,0,0,2,4,0,2,2,0,2,0,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2,2,0,2,2,2,0,2,2,0,2,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,2,2,2,0,2,0,0,0,2,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,2,2,2,2,0,2,0,2,2,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,2,0,2,2,2,2,2,2,0,0,2,0,2,0,2,2,2,2,0,0,2,0,2,0,0,0,0,2,2,2,0,0,0,2,2,0,2,0,2,2,2,2,2,0,2,2,0,0,0,0,2,0,0,0,2,2,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,2,2,0,0,0,2
dx=2,0,0,0,2,2,2,2,2,0,0,0,2,2,2,0,2,0,2,2,0,4,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,0,2,0,0,2,0,2,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,2,2,2,0,2,0,2,0,0,2,0,0,0,2,2,2,2,2,0,0,2,0,0,2,2,2,2,2,2,0,2,0,2,0,2,0,0,2,0,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,0,0,2,0,2,2,2,2,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,2,2,0,2,0,0,2,0,0,2,0,2,2,2,2,2,0,0,2,2,0,0,0,0,2,2,0,0,2,0,2,0,0,2,0,0,2,2,0,2,0,0,2,0,2,0,2,0,2,2,0,0,0,2,0,0,2,0,0,2,2,2
dx=3,0,0,2,0,2,2,0,0,2,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,4,0,0,2,0,0,2,2,0,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2,2,0,2,0,0,2,0,2,2,0,0,0,2,2,0,2,2,2,0,0,0,0,2,2,0,0,2,0,2,0,2,0,2,2,0,0,0,0,2,2,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,2,2,2,0,2,2,0,0,2,2,0,2,0,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,2,0,2,0,2,2,0,2,0,2,2,2,2,2,0,0,2,2,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2,2,0,2,0,0,2,2,0,0,2,2,2,2,0,0,0,2,0,2,0,0,2,0,2,2,0,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2,2,0,0,2,2,2,0,0,2,0,2,2,0,0,0,0,2,0,2,2,2,2,2,0,2,0,2
dx=4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,2,2,2,2,0,2,2,0,0,0,0,2,2,0,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,2,2,0,2,2,2,2,2,2,2,0,0,2,0,0,2,0,2,2,2,2,2,0,2,2,0,0,2,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,2,2,0,0,2,0,0,2,0,2,2,2,2,0,2,2,0,0,2,0,0,0,2,0,2,2,0,0,0,0,2,2,0,0,4,2,2,0,2,2,2,2,2,0,2,0,2,0,0,2,0,2,2,0,0,2,0,0,2,0,2,2,0,0,2,2,2,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,0,0,2,0,2,2,2,0,0,2,0,0,2,2,0,0,2,0,2,0,2,2,2,0,2,0,2,2,0,0,0,2,0,2,2,0,2,0,0,2,2,2,0,0,0,2
dx=5,0,0,0,0,2,0,0,0,4,2,0,0,2,2,0,0,0,2,2,0,2,2,2,0,2,0,0,0,2,0,2,2,2,0,0,2,2,0,2,0,0,2,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,2,0,2,2,2,2,0,0,2,0,2,0,2,0,0,2,2,0,2,2,0,2,0,2,2,0,2,2,2,0,0,2,0,2,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,0,2,2,0,2,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,2,0,2,0,2,2,2,2,2,0,2,0,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,0,2,2,2,0,2,0,0,2,0,2,2,2,2,2,0,2,0,2,0,2,0,0,0,0,2,2,0,2,0,0,2,2,2,2,0,2,2,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,2,2,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,2,0,2,2
dx=6,0,2,0,0,2,2,0,0,0,2,0,2,4,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,0,0,0,0,2,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,2,2,2,2,0,2,2,2,0,2,0,2,0,2,2,2,2,0,0,2,0,0,0,0,0,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,0,0,0,2,0,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,2,0,2,2,2,0,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,2,2,0,2,2,2,0,2,0,2,2,0,2,2,0,2,2,0,0,2,2,2,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,2,0,0,2,2,2,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,2,2,0,0,2,0,2,2,0,2
dx=7,0,2,0,0,0,0,2,0,2,2,2,0,0,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,2,2,0,0,0,2,2,2,0,2,0,2,2,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,2,2,0,2,2,0,2,2,0,2,2,0,2,0,2,0,0,2,2,0,2,2,0,2,0,0,0,0,2,2,2,0,0,2,2,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,2,2,4,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2,2,2,2,0,0,2,2,0,2,2,0,0,2,0,0,2,0,0,2,2,2,0,2,2,0,0,0,0,2,0,0,2,2,0,0,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,2,2
dx=8,0,0,2,2,0,0,0,0,0,2,0,2,2,0,0,2,2,2,0,2,0,2,2,0,0,0,2,2,0,0,0,2,0,2,2,0,2,2,2,2,0,0,0,0,0,2,0,0,2,2,2,0,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,2,4,0,0,2,2,2,0,0,2,0,2,0,0,0,0,2,0,2,0,2,2,2,0,2,2,0,2,0,2,0,2,0,0,2,2,2,0,0,0,2,0,0,2,2,0,0,0,2,2,2,0,0,2,0,0,0,2,2,2,0,0,2,0,0,2,2,2,2,0,0,0,2,2,0,0,2,0,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,0,0,0,2,2,0,0,0,2,0,2,0,2,0,2,2,2,0,2,0,2,0,2,2,0,2,2,0,0,2,2,0,2,2,0,2,2,2,0,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,2,0,2,0,2,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,0
dx=9,0,0,2,2,0,0,2,2,0,0,0,0,2,0,2,0,0,0,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,0,2,0,0,2,2,0,0,0,0,2,2,0,2,2,2,0,0,0,2,0,2,2,0,2,0,2,2,0,0,0,2,0,2,2,2,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,0,2,0,2,2,2,2,2,2,0,2,4,2,2,0,2,2,2,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,0,2,2,2,0,2,0,0,0,2,2,2,2,0,2,0,0,2,2,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,2,2,0,0,0,2,2,0,2,0,2,0,2,2,2,0,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,2,0,0,2,2,0,2,2,0,2,0,0,2,2,0,0,2,2,2,0,0,0,2,0,2
